-1;0;5.099020;-9999994.900980;[0 10 11];2025-11-10 13:41:31
-1;1;2.549510;-9999997.450490;[0 10 11];2025-11-10 13:41:37
0;0;3.046309;-9999994.404181;[0 1 11];2025-11-10 13:42:07
0;1;2.814150;-9999997.185850;[0 1 10 11];2025-11-10 13:42:22
1;0;3.600000;-9999993.585850;[0 2 11];2025-11-10 13:42:52
1;1;4.580454;-9999995.419546;[0 2 1 10 11];2025-11-10 13:43:20
2;0;4.472136;-9999990.947410;[0 3 11];2025-11-10 13:43:50
2;1;5.401048;-9999994.598952;[0 2 3 1 10 11];2025-11-10 13:43:59
3;0;6.322375;-9999990.042882;[0 4 2 11];2025-11-10 13:44:29
3;1;5.544438;-9999993.370329;[0 2 4 10 11];2025-11-10 13:44:33
4;0;11.948476;-9999988.283683;[0 5 2 4 3 1 11];2025-11-10 13:45:03
4;1;4.464388;-9999990.936886;[0 1 5 2 11];2025-11-10 13:45:06
5;0;9.759488;-9999989.054593;[0 6 4 3 1 11];2025-11-10 13:45:37
5;1;4.879744;-9999993.934337;[0 6 4 3 1 11];2025-11-10 13:46:07
6;0;10.180404;-19999975.981517;[0 6 5 2 3 11];2025-11-10 13:46:37
6;1;5.090202;-19999981.071719;[0 6 5 2 3 11];2025-11-10 13:46:47
7;0;13.548976;-9999990.138294;[0 4 3 1 10 7 5 11];2025-11-10 13:47:17
7;1;4.947354;-9999992.112553;[0 3 7 5 11];2025-11-10 13:47:47
8;0;8.767041;-9999987.603540;[0 7 8 6 2 11];2025-11-10 13:48:17
8;1;5.744708;-9999992.686505;[0 4 2 6 8 7 11];2025-11-10 13:48:47
9;0;14.090929;-29999958.753799;[0 5 8 10 1 3 4 11];2025-11-10 13:49:17
9;1;5.097451;-29999961.564827;[0 5 8 3 11];2025-11-10 13:49:26
10;0;12.381810;-9999984.358622;[0 6 5 8 7 10 9 3 11];2025-11-10 13:49:56
10;1;4.885801;-9999988.141221;[0 7 10 9 3 11];2025-11-10 13:50:14
11;0;15.385236;-29999953.930255;[0 8 1 9 4 2 11];2025-11-10 13:50:44
11;1;6.760474;-29999958.544725;[0 2 8 9 1 11];2025-11-10 13:50:52
12;0;14.562416;-179999703.586338;[0 6 5 7 1 9 4 11];2025-11-10 13:51:22
12;1;6.659821;-153333081.489541;[0 4 9 7 6 11];2025-11-10 13:51:29
13;0;11.949346;-2.690159;[0 1 9 10 7 8 5 6 11];2025-11-10 13:51:30
13;1;5.198702;-2.597672;[0 6 7 10 9 1 11];2025-11-10 13:52:00
14;0;13.829385;-2.528569;[0 6 5 2 4 3 9 1 11];2025-11-10 13:52:00
14;1;4.850781;-3.327462;[0 9 3 4 11];2025-11-10 13:52:19
15;0;14.014244;-1.976339;[0 4 2 5 8 7 10 1 11];2025-11-10 13:52:19
15;1;4.460093;-2.155991;[0 7 8 5 2 11];2025-11-10 13:52:49
16;0;9.224531;-0.598289;[0 6 5 8 7 10 1 11];2025-11-10 13:52:49
16;1;4.650776;-1.202010;[0 1 3 4 2 11];2025-11-10 13:53:19
17;0;16.458129;-1.807239;[0 6 5 8 10 9 4 2 11];2025-11-10 13:53:19
17;1;4.228921;-2.022757;[0 2 6 5 8 11];2025-11-10 13:53:49
18;0;16.411636;-0.277666;[0 2 4 9 10 7 8 5 11];2025-11-10 13:53:50
18;1;5.511968;-0.817062;[0 9 4 2 11];2025-11-10 13:54:20
19;0;14.268994;-0.503951;[0 1 10 7 8 5 6 2 4 11];2025-11-10 13:54:20
19;1;6.093886;-1.199126;[0 4 2 6 7 10 11];2025-11-10 13:54:43
20;0;13.124919;-0.069967;[0 6 5 8 7 10 9 3 1 11];2025-11-10 13:54:43
20;1;6.866690;-0.485476;[0 2 8 10 9 11];2025-11-10 13:55:13
21;1;4.587468;-0.127375;[0 7 8 5 6 2 11];2025-11-10 13:55:43
