-1;0;6.403124;-9999993.596876;[0 9 10];2025-11-13 15:41:37
-1;1;3.201562;-9999996.798438;[0 9 10];2025-11-13 15:41:38
0;0;3.046309;-9999993.752129;[0 1 10];2025-11-13 15:42:08
0;1;3.252583;-9999996.747417;[0 9 1 10];2025-11-13 15:42:10
1;0;3.600000;-9999993.147417;[0 2 10];2025-11-13 15:42:40
1;1;4.871962;-9999995.077017;[0 9 2 10];2025-11-13 15:42:42
2;0;6.937630;-9999991.340949;[0 9 3 10];2025-11-13 15:43:12
2;1;4.971246;-9999994.977733;[0 2 3 9 10];2025-11-13 15:43:14
3;0;6.322375;-9999990.325758;[0 4 2 10];2025-11-13 15:43:44
3;1;5.511968;-9999994.337727;[0 2 4 9 10];2025-11-13 15:43:45
4;0;11.663835;-9999990.096275;[0 1 3 4 5 10];2025-11-13 15:44:15
4;1;4.342329;-9999987.640115;[0 5 4 10];2025-11-13 15:44:16
5;0;9.759488;-9999992.474212;[0 6 4 3 1 10];2025-11-13 15:44:46
5;1;4.879744;-9999997.353956;[0 6 4 3 1 10];2025-11-13 15:44:52
6;0;6.300907;-9999988.036820;[0 7 5 6 10];2025-11-13 15:45:22
6;1;4.311498;-9999991.696629;[0 2 6 5 7 10];2025-11-13 15:45:27
7;0;12.403938;-10000012.064559;[0 4 3 1 7 8 10];2025-11-13 15:45:58
7;1;4.820003;-10000011.336710;[0 3 1 7 8 10];2025-11-13 15:46:01
8;0;8.457842;-39999944.118561;[0 8 5 6 2 10];2025-11-13 15:46:31
8;1;4.228921;-39999948.347482;[0 8 5 6 2 10];2025-11-13 15:46:33
9;0;12.350425;-8749988.020234;[0 3 9 1 7 8 5 6 10];2025-11-13 15:47:03
9;1;5.633646;-4999992.979657;[0 1 9 7 8 6 10];2025-11-13 15:47:09
10;0;13.878630;-5.227849;[0 3 4 2 5 8 7 10];2025-11-13 15:47:10
10;1;5.989615;-4.608202;[0 2 4 3 7 10];2025-11-13 15:47:15
11;0;13.146776;-3.651879;[0 4 2 5 8 7 1 10];2025-11-13 15:47:15
11;1;5.633162;-3.276478;[0 2 4 1 7 10];2025-11-13 15:47:18
12;0;13.233449;-0.454266;[0 5 8 7 1 3 4 10];2025-11-13 15:47:19
12;1;5.834082;-1.136853;[0 8 7 1 4 10];2025-11-13 15:47:22
13;0;11.125979;-1.449674;[0 2 4 3 9 1 10];2025-11-13 15:47:22
13;1;3.989588;-1.005850;[0 1 3 4 10];2025-11-13 15:47:26
14;0;11.897312;-0.962991;[0 7 8 5 6 2 4 10];2025-11-13 15:47:26
14;1;5.744708;-1.436652;[0 7 8 6 2 4 10];2025-11-13 15:47:30
15;0;14.555824;-0.315508;[0 5 8 7 1 3 4 2 10];2025-11-13 15:47:30
15;1;3.398184;-0.615631;[0 7 8 5 10];2025-11-13 15:47:33
16;0;12.004958;-0.126613;[0 6 5 2 4 3 1 10];2025-11-13 15:47:33
16;1;4.901802;-0.549867;[0 1 9 4 10];2025-11-13 15:47:37
17;0;13.727343;-0.032694;[0 9 3 4 2 5 6 10];2025-11-13 15:47:37
17;1;3.426424;-0.435952;[0 7 8 5 6 10];2025-11-13 15:47:40
18;1;5.924792;-0.598526;[0 1 7 6 2 4 10];2025-11-13 15:47:44
19;1;4.279221;-0.421353;[0 2 4 3 10];2025-11-13 15:47:47
20;0;9.025781;-0.206558;[0 6 5 2 4 10];2025-11-13 15:47:47
21;0;13.401525;-0.026796;[0 4 2 6 5 8 7 1 10];2025-11-13 15:47:50
