run_id;arquivo_instancia;ninst;tem_janelas;heuristica_retirada;tamanho_clientes;nos_rede;veiculos;capacidade;tabu;tipo_geracao;tempo_exato;tempo_bp;fo_exato;fo_bp;gap_pct;igual_exato;nos_bp;colunas_bp;seq_exato;seq_bp;timestamp
tam25_cap200_tabu0_inst0_cons2;instancias/r101,txt;0;0;2;25;27;8;200;0;PD;0,7315;35,8466;618,3299;618,3299;0;1;1;1184;"V0: [0,12,9,20,1,26] ; V1: [0,11,19,10,26] ; V2: [0,18,26] ; V3: [0,23,22,4,26] ; V4: [0,7,8,17,26] ; V5: [0,5,16,6,26] ; V6: [0,2,21,3,24,25,26] ; V7: [0,14,15,13,26]";"V0: [0,2,21,3,24,25,26] ; V1: [0,12,9,20,1,26] ; V2: [0,11,19,10,26] ; V3: [0,23,22,4,26] ; V4: [0,7,8,17,26] ; V5: [0,18,26] ; V6: [0,5,16,6,26] ; V7: [0,14,15,13,26]";26/03/2026 17:08
tam25_cap200_tabu0_inst0_cons3;instancias/r101,txt;0;0;3;25;27;8;200;0;PD;0,7315;2,7226;618,3299;646,8649;4,6148;0;1;976;"V0: [0,12,9,20,1,26] ; V1: [0,11,19,10,26] ; V2: [0,18,26] ; V3: [0,23,22,4,26] ; V4: [0,7,8,17,26] ; V5: [0,5,16,6,26] ; V6: [0,2,21,3,24,25,26] ; V7: [0,14,15,13,26]";"V0: [0,14,15,22,4,25,26] ; V1: [0,18,6,13,26] ; V2: [0,7,8,26] ; V3: [0,5,16,17,26] ; V4: [0,2,21,3,1,26] ; V5: [0,11,19,10,26] ; V6: [0,12,9,20,26] ; V7: [0,23,24,26]";26/03/2026 17:08
tam25_cap200_tabu0_inst0_cons22;instancias/r101,txt;0;0;22;25;27;8;200;0;PD;0,7315;105,4837;618,3299;618,3299;0;1;1;480;"V0: [0,12,9,20,1,26] ; V1: [0,11,19,10,26] ; V2: [0,18,26] ; V3: [0,23,22,4,26] ; V4: [0,7,8,17,26] ; V5: [0,5,16,6,26] ; V6: [0,2,21,3,24,25,26] ; V7: [0,14,15,13,26]";"V0: [0,5,16,6,26] ; V1: [0,14,15,13,26] ; V2: [0,12,9,20,1,26] ; V3: [0,7,8,17,26] ; V4: [0,18,26] ; V5: [0,11,19,10,26] ; V6: [0,2,21,3,24,26] ; V7: [0,23,22,4,25,26]";26/03/2026 17:10
tam25_cap200_tabu0_inst0_cons10;instancias/r101,txt;0;0;10;25;27;8;200;0;PD;0,7396;25,3171;618,3299;618,3299;0;1;1;1176;"V0: [0,12,9,20,1,26] ; V1: [0,11,19,10,26] ; V2: [0,18,26] ; V3: [0,23,22,4,26] ; V4: [0,7,8,17,26] ; V5: [0,5,16,6,26] ; V6: [0,2,21,3,24,25,26] ; V7: [0,14,15,13,26]";"V0: [0,12,9,20,1,26] ; V1: [0,7,8,17,26] ; V2: [0,23,22,4,26] ; V3: [0,2,21,3,24,25,26] ; V4: [0,14,15,13,26] ; V5: [0,18,26] ; V6: [0,11,19,10,26] ; V7: [0,5,16,6,26]";26/03/2026 19:40
tam25_cap200_tabu0_inst0_cons10;instancias/r102,txt;0;0;10;25;27;7;200;0;PD;1200,9863;1620,0409;548,1078;548,1078;0;1;2585;2170;"V0: [0,14,16,6,13,26] ; V1: [0,3,9,20,1,26] ; V2: [0,7,11,19,10,26] ; V3: [0,2,15,22,4,25,26] ; V4: [0,18,26] ; V5: [0,8,17,5,26] ; V6: [0,21,23,24,12,26]";"V0: [0,3,9,20,1,26] ; V1: [0,8,17,5,26] ; V2: [0,21,23,24,12,26] ; V3: [0,7,11,19,10,26] ; V4: [0,18,26] ; V5: [0,14,16,6,13,26] ; V6: [0,2,15,22,4,25,26]";26/03/2026 20:27
tam25_cap200_tabu0_inst0_cons10;instancias/r103,txt;0;0;10;25;27;5;200;0;PD;1201,1936;185,2481;468,2479;455,6982;-2,6801;0;1;1525;"V0: [0,7,19,11,10,26] ; V1: [0,2,21,23,22,4,25,26] ; V2: [0,14,15,6,13,26] ; V3: [0,1,20,9,3,24,12,26] ; V4: [0,18,8,17,16,5,26]";"V0: [0,12,24,3,9,10,20,1,26] ; V1: [0,21,23,22,4,25,26] ; V2: [0,7,19,11,8,18,26] ; V3: [0,2,15,14,16,17,5,26] ; V4: [0,6,13,26]";26/03/2026 20:50
tam25_cap200_tabu0_inst0_cons10;instancias/r104,txt;0;0;10;25;27;4;200;0;PD;1201,6167;162,7161;453,6869;417,9612;-7,8745;0;3;1732;"V0: [0,15,16,14,13,26] ; V1: [0,21,22,23,4,2,6,26] ; V2: [0,7,19,11,8,17,5,18,26] ; V3: [0,1,10,20,9,3,24,25,12,26]";"V0: [0,12,24,3,9,20,10,1,26] ; V1: [0,2,15,14,16,17,5,26] ; V2: [0,7,19,11,8,18,6,13,26] ; V3: [0,21,22,23,4,25,26]";26/03/2026 21:13
tam25_cap200_tabu0_inst0_cons10;instancias/r105,txt;0;0;10;25;27;6;200;0;PD;17,6753;45,5649;531,5386;531,5386;0;1;1;1242;"V0: [0,5,14,16,6,26] ; V1: [0,12,9,3,24,25,26] ; V2: [0,2,15,13,26] ; V3: [0,21,23,22,4,26] ; V4: [0,7,18,8,17,26] ; V5: [0,19,11,10,20,1,26]";"V0: [0,19,11,10,20,1,26] ; V1: [0,21,23,22,4,26] ; V2: [0,7,18,8,17,26] ; V3: [0,2,15,13,26] ; V4: [0,12,9,3,24,25,26] ; V5: [0,5,14,16,6,26]";26/03/2026 21:14
tam25_cap200_tabu0_inst0_cons10;instancias/r106,txt;0;0;10;25;27;5;200;0;PD;1096,8556;896,2332;466,4802;466,4802;0;1;135;2515;"V0: [0,2,15,23,22,4,25,21,26] ; V1: [0,14,16,6,13,26] ; V2: [0,7,19,11,10,26] ; V3: [0,18,8,17,5,26] ; V4: [0,1,9,20,3,24,12,26]";"V0: [0,2,15,23,22,4,25,21,26] ; V1: [0,7,19,11,10,26] ; V2: [0,1,9,20,3,24,12,26] ; V3: [0,14,16,6,13,26] ; V4: [0,18,8,17,5,26]";26/03/2026 21:47
tam25_cap200_tabu0_inst0_cons10;instancias/r107,txt;0;0;10;25;27;4;200;0;PD;1201,4687;191,867;429,2004;425,2685;-0,9161;0;1;1816;"V0: [0,6,16,14,13,26] ; V1: [0,18,7,11,19,8,17,5,26] ; V2: [0,2,15,23,22,4,25,21,26] ; V3: [0,12,24,3,9,20,10,1,26]";"V0: [0,2,15,14,6,13,26] ; V1: [0,21,23,22,4,25,24,26] ; V2: [0,18,7,11,19,8,17,16,5,26] ; V3: [0,12,3,9,20,10,1,26]";26/03/2026 22:10
