iteracao;valor_fo
0;10000000.000000
1;10000000.000000
2;10000000.000000
3;10000000.000000
4;10000000.000000
5;10000000.000000
6;10000000.000000
7;10000000.000000
8;10000000.000000
9;10000000.000000
10;10000000.000000
11;10000000.000000
12;10000000.000000
13;10000000.000000
14;10000000.000000
15;10000000.000000
16;10000000.000000
17;10000000.000000
18;10000000.000000
19;6666676.051862
20;1372568.930270
21;22.914814
22;22.267729
23;22.079168
24;21.561919
25;21.129061
26;20.839001
27;20.711898
28;20.611385
29;19.973471
30;19.973471
31;19.973471
32;19.811224
33;19.775404
34;19.679082
35;19.452288
36;19.416724
37;19.404804
38;19.362588
39;19.330050
40;19.216386
41;19.216386
42;18.784991
43;18.784991
44;18.784991
45;18.784991
46;18.784991
47;18.784991
48;18.784991
49;18.784991
50;18.784991
51;18.784991
52;18.784991
53;18.784991
MIP;18.784991
COMPACTO;0.000000
