iteracao;valor_fo
0;10000000.000000
1;10000000.000000
2;10000000.000000
3;10000000.000000
4;10000000.000000
5;10000000.000000
6;10000000.000000
7;10000000.000000
8;10000000.000000
9;10000000.000000
10;10000000.000000
11;10000000.000000
12;10000000.000000
13;10000000.000000
14;10000000.000000
15;10000000.000000
16;10000000.000000
17;10000000.000000
18;10000000.000000
19;10000000.000000
20;9000102.120529
21;8947471.990339
22;8947471.990339
23;8919023.901242
24;8888994.630327
25;8888994.630327
26;8888994.630327
27;8888994.630327
28;8857249.895002
29;8823638.234581
30;8823637.899499
31;8823637.883803
32;8787988.886679
33;8787988.886679
34;8787988.832995
35;8787988.810253
36;8750111.754742
37;8750111.679048
38;8750111.196179
39;8709790.127611
40;8709790.127611
41;8666781.710678
42;8666781.710678
43;8666781.155707
44;8666780.889040
45;8666780.889040
46;8620806.163550
47;8620806.163550
48;8620806.163550
49;8620806.122200
50;8620806.122200
51;8620806.113961
52;8571547.793704
53;8571547.793704
54;8571547.747212
55;8571547.135768
56;8518639.141669
57;8518639.141669
58;8518639.015391
59;8518639.010237
60;8518639.010237
61;8518638.981121
62;8518638.947194
63;8518638.942136
64;8518638.923698
65;8518638.918622
66;8461662.036416
67;8461662.036416
68;8461661.900160
69;8461661.357412
70;8461661.357412
71;8461661.357412
72;8461660.693051
73;8400124.963295
74;8400124.959723
75;8400124.941943
76;8400124.941943
77;8333462.517668
78;8333462.517668
79;8333462.478621
80;8333462.478621
81;8333462.478621
82;8333462.478621
83;8333462.473077
84;8333461.724707
85;8261000.372488
86;8261000.372488
87;8261000.206793
88;8261000.199458
89;8181953.697958
90;8181953.697958
91;8181953.697958
92;8181953.587858
93;8181952.864438
94;8181951.428302
95;8181951.367445
96;8095375.554945
97;8095375.530224
98;8095375.530224
99;8000146.383508
100;8000146.161512
101;8000145.491995
102;8000145.470788
103;8000145.470788
104;8000145.470788
105;8000139.403004
106;8000138.898487
107;8000138.898487
108;8000138.898487
109;8000138.582501
110;8000138.476208
111;8000138.450113
112;8000137.327669
113;8000137.327669
114;7894889.408876
115;7894889.408876
116;7894881.290079
117;7894881.290079
118;7894878.521173
119;7894874.037449
120;7894874.037449
121;7894873.710696
122;7894873.710696
123;7894873.464922
124;7894873.464922
125;7894872.865278
126;7894872.865278
127;7894872.865278
128;7894872.608885
129;7894872.198184
130;7894872.198184
131;7894870.780829
132;7894870.694367
133;7894869.811718
134;7894869.093677
135;7894863.927022
136;7894863.927022
137;7894863.927022
138;7894863.884652
139;7894863.625650
140;7894863.375581
141;7894861.781593
142;7894861.642567
143;7894860.041877
144;7894860.041877
145;7894859.413131
146;7894859.009873
147;7894859.009873
148;7894859.009873
149;7894859.009873
150;7894859.009873
151;7894858.330336
152;7894858.323547
153;7894858.323547
154;7894857.917607
155;7894857.508632
156;7894850.241965
157;7894850.241965
158;7777893.922631
159;7777893.922631
160;7777893.922631
161;7777893.922631
162;7777893.922631
163;7647177.911681
164;7647177.911681
165;7647177.911681
166;7647177.875192
167;7647177.875192
168;7647177.875192
169;7647177.622778
170;7647177.622778
171;7647177.622778
172;7600120.787195
