iteracao;valor_fo
0;10000000.000000
1;10000000.000000
2;10000000.000000
3;10000000.000000
4;10000000.000000
5;10000000.000000
6;10000000.000000
7;10000000.000000
8;10000000.000000
9;10000000.000000
10;10000000.000000
11;10000000.000000
12;10000000.000000
13;10000000.000000
14;10000000.000000
15;10000000.000000
16;10000000.000000
17;103.408209
18;97.986283
19;94.541678
20;92.598362
21;87.359186
22;85.254472
23;84.680970
24;84.281107
25;81.894340
26;81.099033
27;79.247713
28;79.247713
29;78.557301
30;78.208944
31;78.042570
32;77.914182
33;77.557735
34;77.557735
35;77.075574
36;76.448949
37;76.448949
38;76.448949
39;76.448949
40;76.448949
41;76.448949
42;76.448949
43;76.448949
44;76.448949
45;76.448949
MIP;102.527931
COMPACTO;90.756505
