iteracao;valor_fo
0;10000000.000000
1;10000000.000000
2;10000000.000000
3;10000000.000000
4;10000000.000000
5;10000000.000000
6;10000000.000000
7;10000000.000000
8;10000000.000000
9;10000000.000000
10;10000000.000000
11;10000000.000000
12;10000000.000000
13;10000000.000000
14;10000000.000000
15;10000000.000000
16;10000000.000000
17;10000000.000000
18;10000000.000000
19;10000000.000000
20;10000000.000000
21;10000000.000000
22;10000000.000000
23;10000000.000000
24;4137946.676204
25;3570839.977151
26;2586153.951560
27;1738091.699487
28;349680.280301
29;31.139766
30;30.815433
31;29.139706
32;27.516099
33;27.502763
34;27.099243
35;26.353808
36;26.322940
37;25.917268
38;25.390494
39;25.085584
40;24.974999
41;24.915755
42;24.807014
43;24.624519
44;24.584193
45;24.530168
46;24.364657
47;22.936682
48;22.936682
49;22.936682
50;22.936682
51;22.936682
52;22.936682
53;22.936682
54;22.936682
55;22.936682
56;22.936682
57;22.936682
58;22.936682
59;22.936682
60;22.936682
61;22.936682
62;22.936682
63;22.936682
64;22.936682
65;22.936682
66;22.936682
MIP;22.936682
COMPACTO;0.000000
