iteracao;valor_fo
0;10000000.000000
1;10000000.000000
2;10000000.000000
3;10000000.000000
4;10000000.000000
5;10000000.000000
6;10000000.000000
7;10000000.000000
8;10000000.000000
9;10000000.000000
10;6666672.598232
11;6666672.598232
12;2000016.550396
13;909108.442728
14;526333.518530
15;17.628862
16;17.628862
17;17.497577
18;16.228567
19;16.228567
20;16.228567
21;16.228567
22;16.228567
23;16.228567
24;16.228567
25;16.228567
26;16.228567
27;16.228567
28;16.228567
29;16.228567
30;16.228567
MIP;16.228567
