-1;0;4.242641;-9999995.757359;[0 7 8];2025-11-13 15:01:02
-1;1;2.121320;-9999997.878680;[0 7 8];2025-11-13 15:01:03
0;0;3.046309;-9999994.832370;[0 1 8];2025-11-13 15:01:04
0;1;2.873427;-9999997.126573;[0 7 1 8];2025-11-13 15:01:04
1;0;3.600000;-9999993.526573;[0 2 8];2025-11-13 15:01:05
1;1;3.773117;-9999995.474776;[0 2 7 8];2025-11-13 15:01:05
2;0;5.215245;-9999991.011638;[0 3 1 8];2025-11-13 15:01:06
2;1;5.460326;-9999994.539674;[0 2 3 1 7 8];2025-11-13 15:01:06
3;0;6.322375;-9999989.869096;[0 4 2 8];2025-11-13 15:01:07
3;1;5.633162;-9999993.431736;[0 2 4 1 7 8];2025-11-13 15:01:07
4;0;12.658640;-9999992.028133;[0 5 7 3 4 8];2025-11-13 15:01:08
4;1;4.947354;-9999991.540805;[0 3 7 5 8];2025-11-13 15:01:09
5;0;12.004958;-9999991.730565;[0 1 3 4 2 5 6 8];2025-11-13 15:01:10
5;1;4.591763;-9999994.252450;[0 1 5 6 2 8];2025-11-13 15:01:11
6;0;11.715121;-9.201698;[0 6 7 3 4 8];2025-11-13 15:01:11
6;1;6.290719;-13.237189;[0 3 4 2 6 7 8];2025-11-13 15:01:11
7;0;12.002215;-6.053929;[0 4 1 7 5 6 8];2025-11-13 15:01:11
7;1;3.902561;-6.442298;[0 1 7 5 6 8];2025-11-13 15:01:12
8;0;8.368245;-2.927944;[0 7 5 2 8];2025-11-13 15:01:12
8;1;4.184123;-3.392239;[0 2 5 7 8];2025-11-13 15:01:12
9;0;8.684658;-2.215347;[0 4 5 8];2025-11-13 15:01:12
9;1;4.342329;-6.230087;[0 4 5 8];2025-11-13 15:01:13
10;0;11.948476;-0.250099;[0 5 2 4 3 1 8];2025-11-13 15:01:13
10;1;4.650776;-2.434819;[0 2 4 3 1 8];2025-11-13 15:01:13
11;0;12.681507;-0.512388;[0 4 3 1 7 5 8];2025-11-13 15:01:13
11;1;5.402989;-1.435124;[0 7 5 4 8];2025-11-13 15:01:14
12;0;14.060363;-0.548695;[0 2 4 3 1 7 5 6 8];2025-11-13 15:01:14
12;1;4.936230;-0.439328;[0 1 7 5 2 8];2025-11-13 15:01:15
13;1;4.975594;-0.478440;[0 6 5 7 3 8];2025-11-13 15:01:15
14;1;4.311498;-0.209270;[0 2 6 5 7 8];2025-11-13 15:01:16
15;1;5.868994;-0.012788;[0 6 7 1 3 4 8];2025-11-13 15:01:17
-1;0;4.242641;-9999995.757359;[0 7 8];2025-11-13 15:01:36
-1;1;2.121320;-9999997.878680;[0 7 8];2025-11-13 15:01:36
0;0;3.046309;-9999994.832370;[0 1 8];2025-11-13 15:01:36
0;1;2.873427;-9999997.126573;[0 1 7 8];2025-11-13 15:01:36
1;0;3.600000;-9999993.526573;[0 2 8];2025-11-13 15:01:36
1;1;4.525224;-9999995.474776;[0 1 7 2 8];2025-11-13 15:01:36
2;0;5.215245;-9999991.011638;[0 1 3 8];2025-11-13 15:01:36
2;1;5.460326;-9999994.539674;[0 7 1 3 2 8];2025-11-13 15:01:36
3;0;6.322375;-9999989.869096;[0 2 4 8];2025-11-13 15:01:36
3;1;5.633162;-9999993.431736;[0 7 1 4 2 8];2025-11-13 15:01:36
4;0;11.205368;-9999989.483846;[0 3 4 2 5 8];2025-11-13 15:01:36
4;1;4.184123;-9999993.354497;[0 2 5 7 8];2025-11-13 15:01:36
5;0;9.516599;-9999990.774487;[0 3 4 2 6 8];2025-11-13 15:01:36
5;1;6.290719;-9999996.121687;[0 3 4 2 6 7 8];2025-11-13 15:01:36
6;0;10.967234;-29999960.781952;[0 1 4 6 5 8];2025-11-13 15:01:36
6;1;4.361915;-29999964.340961;[0 5 6 4 8];2025-11-13 15:01:36
7;0;12.681507;-19999970.762996;[0 4 3 1 7 5 8];2025-11-13 15:01:36
7;1;4.947354;-19999967.212403;[0 5 7 3 8];2025-11-13 15:01:36
8;0;10.923513;-8.187701;[0 1 3 2 5 6 8];2025-11-13 15:01:36
8;1;5.090202;-7.415694;[0 3 2 5 6 8];2025-11-13 15:01:36
9;0;7.805121;-3.336913;[0 1 7 5 6 8];2025-11-13 15:01:36
9;1;3.902561;-4.354221;[0 1 7 5 6 8];2025-11-13 15:01:36
10;0;12.004958;-2.688508;[0 1 3 4 2 5 6 8];2025-11-13 15:01:36
10;1;4.650776;-2.887033;[0 1 3 4 2 8];2025-11-13 15:01:36
11;0;14.060363;-0.827677;[0 2 4 3 1 7 5 6 8];2025-11-13 15:01:36
11;1;4.936230;-0.718310;[0 1 7 5 2 8];2025-11-13 15:01:36
12;0;4.179587;-0.016416;[0 5 6 8];2025-11-13 15:01:36
12;1;5.402989;-0.620463;[0 4 5 7 8];2025-11-13 15:01:36
13;1;4.975594;-0.478440;[0 3 7 5 6 8];2025-11-13 15:01:36
14;1;4.311498;-0.209270;[0 2 6 5 7 8];2025-11-13 15:01:36
15;1;5.868994;-0.012788;[0 4 3 1 7 6 8];2025-11-13 15:01:36
-1;0;4.242641;-9999995.757359;[0 7 8];2025-11-13 15:03:36
-1;1;2.121320;-9999997.878680;[0 7 8];2025-11-13 15:03:36
0;0;3.046309;-9999994.832370;[0 1 8];2025-11-13 15:03:36
0;1;2.873427;-9999997.126573;[0 1 7 8];2025-11-13 15:03:36
1;0;3.600000;-9999993.526573;[0 2 8];2025-11-13 15:03:37
1;1;4.525224;-9999995.474776;[0 1 7 2 8];2025-11-13 15:03:37
2;0;5.215245;-9999991.011638;[0 1 3 8];2025-11-13 15:03:37
2;1;5.460326;-9999994.539674;[0 7 1 3 2 8];2025-11-13 15:03:37
3;0;6.322375;-9999989.869096;[0 2 4 8];2025-11-13 15:03:37
3;1;5.633162;-9999993.431736;[0 7 1 4 2 8];2025-11-13 15:03:37
4;0;11.205368;-9999989.483846;[0 3 4 2 5 8];2025-11-13 15:03:37
4;1;4.184123;-9999993.354497;[0 2 5 7 8];2025-11-13 15:03:37
5;0;9.516599;-9999990.774487;[0 3 4 2 6 8];2025-11-13 15:03:37
5;1;6.290719;-9999996.121687;[0 3 4 2 6 7 8];2025-11-13 15:03:37
6;0;10.967234;-29999960.781952;[0 1 4 6 5 8];2025-11-13 15:03:37
6;1;4.361915;-29999964.340961;[0 5 6 4 8];2025-11-13 15:03:37
7;0;12.681507;-19999970.762996;[0 4 3 1 7 5 8];2025-11-13 15:03:37
7;1;4.947354;-19999967.212403;[0 5 7 3 8];2025-11-13 15:03:37
8;0;10.923513;-8.187701;[0 1 3 2 5 6 8];2025-11-13 15:03:37
8;1;5.090202;-7.415694;[0 3 2 5 6 8];2025-11-13 15:03:37
9;0;7.805121;-3.336913;[0 1 7 5 6 8];2025-11-13 15:03:37
9;1;3.902561;-4.354221;[0 1 7 5 6 8];2025-11-13 15:03:37
10;0;12.004958;-2.688508;[0 1 3 4 2 5 6 8];2025-11-13 15:03:37
10;1;4.650776;-2.887033;[0 1 3 4 2 8];2025-11-13 15:03:37
11;0;14.060363;-0.827677;[0 2 4 3 1 7 5 6 8];2025-11-13 15:03:37
11;1;4.936230;-0.718310;[0 1 7 5 2 8];2025-11-13 15:03:37
12;0;4.179587;-0.016416;[0 5 6 8];2025-11-13 15:03:37
12;1;5.402989;-0.620463;[0 4 5 7 8];2025-11-13 15:03:37
13;1;4.975594;-0.478440;[0 3 7 5 6 8];2025-11-13 15:03:37
14;1;4.311498;-0.209270;[0 2 6 5 7 8];2025-11-13 15:03:37
15;1;5.868994;-0.012788;[0 4 3 1 7 6 8];2025-11-13 15:03:37
-1;0;4.242641;-9999995.757359;[0 7 8];2025-11-13 15:13:17
-1;1;2.121320;-9999997.878680;[0 7 8];2025-11-13 15:13:17
0;0;3.046309;-9999994.832370;[0 1 8];2025-11-13 15:13:18
0;1;2.873427;-9999997.126573;[0 7 1 8];2025-11-13 15:13:18
1;0;3.600000;-9999993.526573;[0 2 8];2025-11-13 15:13:19
1;1;3.773117;-9999995.474776;[0 2 7 8];2025-11-13 15:13:19
2;0;5.215245;-9999991.011638;[0 3 1 8];2025-11-13 15:13:20
2;1;5.460326;-9999994.539674;[0 2 3 1 7 8];2025-11-13 15:13:21
3;0;6.322375;-9999989.869096;[0 4 2 8];2025-11-13 15:13:21
3;1;5.633162;-9999993.431736;[0 2 4 1 7 8];2025-11-13 15:13:22
4;0;12.658640;-9999992.028133;[0 5 7 3 4 8];2025-11-13 15:13:23
4;1;4.947354;-9999991.540805;[0 3 7 5 8];2025-11-13 15:13:23
5;0;12.004958;-9999991.730565;[0 1 3 4 2 5 6 8];2025-11-13 15:13:24
5;1;4.591763;-9999994.252450;[0 1 5 6 2 8];2025-11-13 15:13:25
6;0;11.715121;-9.201698;[0 6 7 3 4 8];2025-11-13 15:13:25
6;1;6.290719;-13.237189;[0 3 4 2 6 7 8];2025-11-13 15:13:25
7;0;12.002215;-6.053929;[0 4 1 7 5 6 8];2025-11-13 15:13:25
7;1;3.902561;-6.442298;[0 1 7 5 6 8];2025-11-13 15:13:26
8;0;8.368245;-2.927944;[0 7 5 2 8];2025-11-13 15:13:26
8;1;4.184123;-3.392239;[0 2 5 7 8];2025-11-13 15:13:26
9;0;8.684658;-2.215347;[0 4 5 8];2025-11-13 15:13:26
9;1;4.342329;-6.230087;[0 4 5 8];2025-11-13 15:13:26
10;0;11.948476;-0.250099;[0 5 2 4 3 1 8];2025-11-13 15:13:26
10;1;4.650776;-2.434819;[0 2 4 3 1 8];2025-11-13 15:13:27
11;0;12.681507;-0.512388;[0 4 3 1 7 5 8];2025-11-13 15:13:27
11;1;5.402989;-1.435124;[0 7 5 4 8];2025-11-13 15:13:28
12;0;14.060363;-0.548695;[0 2 4 3 1 7 5 6 8];2025-11-13 15:13:28
12;1;4.936230;-0.439328;[0 1 7 5 2 8];2025-11-13 15:13:28
13;1;4.975594;-0.478440;[0 6 5 7 3 8];2025-11-13 15:13:29
14;1;4.311498;-0.209270;[0 2 6 5 7 8];2025-11-13 15:13:30
15;1;5.868994;-0.012788;[0 6 7 1 3 4 8];2025-11-13 15:13:31
