-1;0;4.242641;-9999995.757359;[0 7 8];2025-11-13 15:24:36
-1;1;2.121320;-9999997.878680;[0 7 8];2025-11-13 15:24:36
0;0;3.046309;-9999994.832370;[0 1 8];2025-11-13 15:24:37
0;1;2.873427;-9999997.126573;[0 7 1 8];2025-11-13 15:24:37
1;0;3.600000;-9999993.526573;[0 2 8];2025-11-13 15:24:38
1;1;3.773117;-9999995.474776;[0 2 7 8];2025-11-13 15:24:38
2;0;5.215245;-9999991.011638;[0 3 1 8];2025-11-13 15:24:39
2;1;5.460326;-9999994.539674;[0 2 3 1 7 8];2025-11-13 15:24:39
3;0;6.322375;-9999989.869096;[0 4 2 8];2025-11-13 15:24:40
3;1;5.633162;-9999993.431736;[0 2 4 1 7 8];2025-11-13 15:24:40
4;0;12.658640;-9999992.028133;[0 5 7 3 4 8];2025-11-13 15:24:41
4;1;4.947354;-9999991.540805;[0 3 7 5 8];2025-11-13 15:24:42
5;0;12.004958;-9999991.730565;[0 1 3 4 2 5 6 8];2025-11-13 15:24:43
5;1;4.591763;-9999994.252450;[0 1 5 6 2 8];2025-11-13 15:24:44
6;0;11.715121;-9.201698;[0 6 7 3 4 8];2025-11-13 15:24:44
6;1;6.290719;-13.237189;[0 3 4 2 6 7 8];2025-11-13 15:24:44
7;0;12.002215;-6.053929;[0 4 1 7 5 6 8];2025-11-13 15:24:44
7;1;3.902561;-6.442298;[0 1 7 5 6 8];2025-11-13 15:24:45
8;0;8.368245;-2.927944;[0 7 5 2 8];2025-11-13 15:24:45
8;1;4.184123;-3.392239;[0 2 5 7 8];2025-11-13 15:24:45
9;0;8.684658;-2.215347;[0 4 5 8];2025-11-13 15:24:45
9;1;4.342329;-6.230087;[0 4 5 8];2025-11-13 15:24:45
10;0;11.948476;-0.250099;[0 5 2 4 3 1 8];2025-11-13 15:24:45
10;1;4.650776;-2.434819;[0 2 4 3 1 8];2025-11-13 15:24:46
11;0;12.681507;-0.512388;[0 4 3 1 7 5 8];2025-11-13 15:24:46
11;1;5.402989;-1.435124;[0 7 5 4 8];2025-11-13 15:24:47
12;0;14.060363;-0.548695;[0 2 4 3 1 7 5 6 8];2025-11-13 15:24:47
12;1;4.936230;-0.439328;[0 1 7 5 2 8];2025-11-13 15:24:47
13;1;4.975594;-0.478440;[0 6 5 7 3 8];2025-11-13 15:24:48
14;1;4.311498;-0.209270;[0 2 6 5 7 8];2025-11-13 15:24:49
15;1;5.868994;-0.012788;[0 6 7 1 3 4 8];2025-11-13 15:24:49
