tam50_cap200_tabu0_inst5_cons10;instancias/rc106,txt;5;0;10;50;52;3;200;0;PD;601,979;51,1661;-1;-1;;;0;0;False;0;SEM_SEQUENCIA_EXATO;SEM_SEQUENCIA_BP;2026-04-25 16:42:38
tam50_cap200_tabu0_inst6_cons10;instancias/rc107,txt;6;0;10;50;52;3;200;0;PD;601,3688;81,1827;-1;-1;;;0;0;False;0;SEM_SEQUENCIA_EXATO;SEM_SEQUENCIA_BP;2026-04-25 16:54:01
tam50_cap200_tabu0_inst7_cons10;instancias/rc108,txt;7;0;10;50;52;3;200;0;PD;601,5725;168,9108;-1;-1;;;0;0;False;0;SEM_SEQUENCIA_EXATO;SEM_SEQUENCIA_BP;2026-04-25 17:06:52
tam25_cap200_tabu0_inst0_cons10;instancias/rc101,txt;0;0;10;25;27;4;200;0;PD;13,4056;3605,1597;459,7;461,1;0,3045;0;305;2160;False;0;"V0: [0,14,12,22,20,26] ; V1: [0,11,15,16,9,10,13,17,26] ; V2: [0,23,21,19,18,25,24,26] ; V3: [0,2,5,8,7,6,3,1,4,26]";"V0: [0,14,12,15,16,9,10,13,17,26] ; V1: [0,2,5,7,6,8,3,1,4,26] ; V2: [0,23,21,19,18,25,24,26] ; V3: [0,11,22,20,26]";2026-04-26 22:22:10
tam25_cap200_tabu0_inst1_cons10;instancias/rc102,txt;1;0;10;25;27;3;200;0;PD;127,0576;53,1782;351,8;351,8;0,0;1;1;512;False;0;"V0: [0,21,23,19,18,22,20,25,24,26] ; V1: [0,7,6,8,5,3,1,4,2,26] ; V2: [0,12,14,11,15,16,9,10,13,17,26]";"V0: [0,7,6,8,5,3,1,4,2,26] ; V1: [0,14,11,15,16,9,10,13,17,12,26] ; V2: [0,21,23,19,18,22,20,25,24,26]";2026-04-26 22:25:11
tam25_cap200_tabu0_inst2_cons10;instancias/rc103,txt;2;0;10;25;27;3;200;0;PD;601,5428;213,1742;332,8;-1;;;0;0;False;0;"V0: [0,12,15,11,9,10,13,16,17,14,26] ; V1: [0,7,6,8,5,3,1,4,2,26] ; V2: [0,20,19,18,21,23,22,25,24,26]";SEM_SEQUENCIA_BP;2026-04-26 22:38:45
tam25_cap200_tabu0_inst3_cons10;instancias/rc104,txt;3;0;10;25;27;3;200;0;PD;601,1916;397,1313;307,9;-1;;;0;0;False;0;"V0: [0,20,19,18,21,23,25,24,22,26] ; V1: [0,2,6,7,8,4,5,3,1,26] ; V2: [0,12,15,11,10,9,13,16,17,14,26]";SEM_SEQUENCIA_BP;2026-04-26 22:55:24
tam25_cap200_tabu0_inst4_cons10;instancias/rc105,txt;4;0;10;25;27;4;200;0;PD;600,9071;87,151;411,3;411,3;0,0;1;1;626;False;0;"V0: [0,2,5,3,1,8,6,7,4,26] ; V1: [0,19,23,18,22,20,21,25,24,26] ; V2: [0,12,14,16,15,13,17,26] ; V3: [0,11,9,10,26]";"V0: [0,12,14,15,16,13,17,26] ; V1: [0,2,5,3,1,8,6,7,4,26] ; V2: [0,19,23,18,22,20,21,25,24,26] ; V3: [0,11,9,10,26]";2026-04-26 23:06:52
tam25_cap200_tabu0_inst5_cons10;instancias/rc106,txt;5;0;10;25;27;3;200;0;PD;78,2457;87,6543;345,5;-1;;;0;0;False;0;"V0: [0,2,5,8,7,6,4,3,1,26] ; V1: [0,23,21,18,19,20,22,25,24,26] ; V2: [0,11,15,16,14,12,10,9,13,17,26]";SEM_SEQUENCIA_BP;2026-04-26 23:09:38
tam25_cap200_tabu0_inst6_cons10;instancias/rc107,txt;6;0;10;25;27;3;200;0;PD;600,8812;234,3193;296,8;-1;;;0;0;False;0;"V0: [0,12,14,17,16,15,13,9,11,10,26] ; V1: [0,22,19,18,21,23,25,24,20,26] ; V2: [0,2,6,7,8,4,5,3,1,26]";SEM_SEQUENCIA_BP;2026-04-26 23:23:33
tam25_cap200_tabu0_inst7_cons10;instancias/rc108,txt;7;0;10;25;27;3;200;0;PD;601,0251;296,7603;294,5;294,5;0,0;1;1;781;False;0;"V0: [0,2,6,7,8,4,5,3,1,26] ; V1: [0,22,20,19,18,21,23,25,24,26] ; V2: [0,12,14,17,16,15,13,9,11,10,26]";"V0: [0,12,14,17,16,15,13,9,11,10,26] ; V1: [0,22,20,19,18,21,23,25,24,26] ; V2: [0,2,6,7,8,4,5,3,1,26]";2026-04-26 23:38:31
tam25_cap200_tabu0_inst2_cons10;instancias/rc103,txt;2;0;10;25;27;3;200;0;PD;601,4645;221,793;332,8;332,8;-0,0;1;1;683;False;0;"V0: [0,12,15,11,9,10,13,16,17,14,26] ; V1: [0,7,6,8,5,3,1,4,2,26] ; V2: [0,20,19,18,21,23,22,25,24,26]";SEM_SEQUENCIA_BP;2026-04-27 17:36:11
tam25_cap200_tabu0_inst3_cons10;instancias/rc104,txt;3;0;10;25;27;3;200;0;PD;601,2;409,4547;307,9;307,9;-0,0;1;1;764;False;0;"V0: [0,20,19,18,21,23,25,24,22,26] ; V1: [0,2,6,7,8,4,5,3,1,26] ; V2: [0,12,15,11,10,9,13,16,17,14,26]";SEM_SEQUENCIA_BP;2026-04-27 17:53:01
tam25_cap200_tabu0_inst4_cons10;instancias/rc105,txt;4;0;10;25;27;4;200;0;PD;600,7588;86,6381;411,3;411,3;0,0;1;1;626;False;0;"V0: [0,2,5,3,1,8,6,7,4,26] ; V1: [0,19,23,18,22,20,21,25,24,26] ; V2: [0,12,14,16,15,13,17,26] ; V3: [0,11,9,10,26]";SEM_SEQUENCIA_BP;2026-04-27 18:04:29
tam25_cap200_tabu0_inst5_cons10;instancias/rc106,txt;5;0;10;25;27;3;200;0;PD;87,5088;89,9952;345,5;345,5;0,0;1;1;512;False;0;"V0: [0,2,5,8,7,6,4,3,1,26] ; V1: [0,23,21,18,19,20,22,25,24,26] ; V2: [0,11,15,16,14,12,10,9,13,17,26]";SEM_SEQUENCIA_BP;2026-04-27 18:07:26
tam25_cap200_tabu0_inst6_cons10;instancias/rc107,txt;6;0;10;25;27;3;200;0;PD;600,8144;238,1869;296,8;298,3;0,5054;0;1;600;False;0;"V0: [0,12,14,17,16,15,13,9,11,10,26] ; V1: [0,22,19,18,21,23,25,24,20,26] ; V2: [0,2,6,7,8,4,5,3,1,26]";SEM_SEQUENCIA_BP;2026-04-27 18:21:25
tam25_cap200_tabu0_inst7_cons10;instancias/rc108,txt;7;0;10;25;27;3;200;0;PD;600,9921;331,9979;294,5;294,5;0,0;1;1;781;False;0;"V0: [0,2,6,7,8,4,5,3,1,26] ; V1: [0,22,20,19,18,21,23,25,24,26] ; V2: [0,12,14,17,16,15,13,9,11,10,26]";SEM_SEQUENCIA_BP;2026-04-27 18:36:58
tam50_cap200_tabu0_inst0_cons10;instancias/c101N,txt;0;0;10;50;52;5;200;0;PD;2,3022;1146,2407;362,4;362,4;0,0;1;1;2561;False;0;"V0: [0,5,3,7,8,10,11,9,6,4,2,1,51] ; V1: [0,20,24,25,27,29,30,28,26,23,22,21,51] ; V2: [0,13,17,18,19,15,16,14,12,51] ; V3: [0,32,33,31,35,37,38,39,36,34,51] ; V4: [0,43,42,41,40,44,46,45,48,50,49,47,51]";SEM_SEQUENCIA_BP;2026-04-28 02:25:35
tam50_cap200_tabu0_inst1_cons10;instancias/c102,txt;1;0;10;50;52;5;200;0;PD;601,1431;3503,2888;361,4;361,4;0,0;1;1;5454;False;0;"V0: [0,43,42,41,40,44,46,45,48,50,49,47,51] ; V1: [0,13,17,18,19,15,16,14,12,51] ; V2: [0,32,33,31,35,37,38,39,36,34,51] ; V3: [0,20,24,25,27,29,30,28,26,23,22,21,51] ; V4: [0,7,8,10,11,9,6,4,2,1,3,5,51]";SEM_SEQUENCIA_BP;2026-04-28 03:33:59


