tam25_cap200_tabu0_inst0_cons10;instancias/r101,txt;0;0;10;25;27;8;200;0;PD;0,7401;83,8383;618,3299;618,3299;0,0;1;3;1288;"V0: [0,12,9,20,1,26] ; V1: [0,11,19,10,26] ; V2: [0,18,26] ; V3: [0,23,22,4,26] ; V4: [0,7,8,17,26] ; V5: [0,5,16,6,26] ; V6: [0,2,21,3,24,25,26] ; V7: [0,14,15,13,26]";"V0: [0,14,15,13,26] ; V1: [0,12,9,20,1,26] ; V2: [0,23,22,4,25,26] ; V3: [0,5,16,6,26] ; V4: [0,11,19,10,26] ; V5: [0,18,26] ; V6: [0,2,21,3,24,26] ; V7: [0,7,8,17,26]";2026-04-02 16:28:28
tam25_cap200_tabu0_inst0_cons10;instancias/r102,txt;0;0;10;25;27;7;200;0;PD;200,5235;3688,5971;548,1078;548,1078;0,0;1;272;2170;"V0: [0,14,16,6,13,26] ; V1: [0,3,9,20,1,26] ; V2: [0,7,11,19,10,26] ; V3: [0,2,15,22,4,25,26] ; V4: [0,18,26] ; V5: [0,8,17,5,26] ; V6: [0,21,23,24,12,26]";"V0: [0,14,16,6,13,26] ; V1: [0,8,17,5,26] ; V2: [0,2,15,22,4,25,26] ; V3: [0,18,26] ; V4: [0,3,9,20,1,26] ; V5: [0,21,23,24,12,26] ; V6: [0,7,11,19,10,26]";2026-04-02 17:33:17
tam25_cap200_tabu0_inst0_cons10;instancias/r103,txt;0;0;10;25;27;5;200;0;PD;201,4841;1528,8382;490,9734;455,6982;-7,1847;0;1;1965;"V0: [0,7,19,11,10,26] ; V1: [0,21,23,22,2,4,25,12,26] ; V2: [0,14,15,6,13,26] ; V3: [0,3,24,9,20,1,26] ; V4: [0,18,8,16,17,5,26]";"V0: [0,12,24,3,9,10,20,1,26] ; V1: [0,2,15,14,16,17,5,26] ; V2: [0,21,23,22,4,25,26] ; V3: [0,7,19,11,8,18,26] ; V4: [0,6,13,26]";2026-04-02 18:02:07
tam25_cap200_tabu0_inst0_cons10;instancias/r104,txt;0;0;10;25;27;4;200;0;PD;200,8732;848,9515;-1;417,9612;;;1;1848;SEM_SEQUENCIA_EXATO;"V0: [0,2,15,14,16,17,5,26] ; V1: [0,7,19,11,8,18,6,13,26] ; V2: [0,21,22,23,4,25,26] ; V3: [0,12,24,3,9,20,10,1,26]";2026-04-02 18:19:37
tam25_cap200_tabu0_inst0_cons10;instancias/r105,txt;0;0;10;25;27;6;200;0;PD;26,0318;267,1819;531,5386;531,5386;0,0;1;1;1404;"V0: [0,5,14,16,6,26] ; V1: [0,12,9,3,24,25,26] ; V2: [0,2,15,13,26] ; V3: [0,21,23,22,4,26] ; V4: [0,7,18,8,17,26] ; V5: [0,19,11,10,20,1,26]";"V0: [0,12,9,3,24,26] ; V1: [0,5,14,16,6,26] ; V2: [0,7,18,8,17,26] ; V3: [0,19,11,10,20,1,26] ; V4: [0,2,15,13,26] ; V5: [0,21,23,22,4,25,26]";2026-04-02 18:24:30
tam25_cap200_tabu0_inst0_cons10;instancias/r106,txt;0;0;10;25;27;5;200;0;PD;201,2862;3642,4569;466,4802;466,4802;-0,0;1;151;2525;"V0: [0,2,15,23,22,4,25,21,26] ; V1: [0,14,16,6,13,26] ; V2: [0,7,19,11,10,26] ; V3: [0,18,8,17,5,26] ; V4: [0,1,9,20,3,24,12,26]";"V0: [0,18,8,17,5,26] ; V1: [0,14,16,6,13,26] ; V2: [0,2,15,23,22,4,25,21,26] ; V3: [0,7,19,11,10,26] ; V4: [0,1,9,20,3,24,12,26]";2026-04-02 19:28:34
tam25_cap200_tabu0_inst0_cons10;instancias/r107,txt;0;0;10;25;27;4;200;0;PD;200,8063;1103,3267;-1;425,2685;;;1;1860;SEM_SEQUENCIA_EXATO;"V0: [0,18,7,11,19,8,17,16,5,26] ; V1: [0,12,3,9,20,10,1,26] ; V2: [0,21,23,22,4,25,24,26] ; V3: [0,2,15,14,6,13,26]";2026-04-02 19:50:18
tam25_cap200_tabu0_inst0_cons10;instancias/r108,txt;0;0;10;25;27;4;200;0;PD;201,0159;3735,8646;467,1724;398,2947;-14,7435;0;5;1952;"V0: [0,19,11,7,8,17,18,26] ; V1: [0,10,20,9,3,12,1,26] ; V2: [0,5,16,14,6,13,21,26] ; V3: [0,2,15,23,22,4,25,24,26]";"V0: [0,21,22,23,4,25,24,26] ; V1: [0,2,15,14,16,17,5,6,13,26] ; V2: [0,7,10,11,19,8,18,26] ; V3: [0,1,20,9,3,12,26]";2026-04-02 20:55:55
tam25_cap200_tabu0_inst0_cons10;instancias/r109,txt;0;0;10;25;27;5;200;0;PD;111,6148;792,7108;442,6252;442,6252;-0,0;1;1;2085;"V0: [0,2,15,14,16,17,13,26] ; V1: [0,5,8,18,6,26] ; V2: [0,21,22,23,4,25,24,26] ; V3: [0,12,3,9,20,1,26] ; V4: [0,7,19,11,10,26]";"V0: [0,21,22,23,4,25,24,26] ; V1: [0,2,15,14,16,17,13,26] ; V2: [0,12,3,9,20,1,26] ; V3: [0,7,19,11,10,26] ; V4: [0,5,8,18,6,26]";2026-04-02 21:10:59
tam25_cap200_tabu0_inst0_cons10;instancias/r110,txt;0;0;10;25;27;4;200;0;PD;201,1952;4107,8911;-1;445,8722;;;31;2816;SEM_SEQUENCIA_EXATO;"V0: [0,18,8,17,6,26] ; V1: [0,5,16,14,15,22,23,13,26] ; V2: [0,11,19,7,10,20,9,1,26] ; V3: [0,2,21,12,3,24,25,4,26]";2026-04-02 22:22:49
