iteracao;valor_fo
0;10000000.000000
1;10000000.000000
2;10000000.000000
3;10000000.000000
4;10000000.000000
5;10000000.000000
6;10000000.000000
7;10000000.000000
8;10000000.000000
9;10000000.000000
10;10000000.000000
11;10000000.000000
12;9166712.847031
13;9090959.408224
14;9090957.375669
15;9090957.375669
16;9090957.375669
17;9090956.792882
18;9090956.792882
19;9000051.877032
20;9000050.194545
21;9000050.194545
22;9000050.194545
23;8888942.512740
24;8888940.760169
25;8888940.760169
26;8888940.760169
27;8750058.185868
28;8750058.164232
29;8750055.710351
30;8750055.710351
31;8750055.710351
32;8750055.710351
33;8571489.126705
34;8571489.126705
35;8571487.535265
36;8333400.161473
37;8333400.161473
38;8333400.161473
39;8333400.161473
40;8333400.161473
41;8333400.161473
42;8333400.161473
43;8333400.161473
44;8333400.161473
45;8333400.161473
46;8333400.161473
47;8333400.161473
48;8181888.262872
49;8181888.262872
50;8181887.228974
51;8181887.228974
52;8181887.057816
53;8181885.242081
54;8181885.242081
55;8181885.194587
56;8181885.194587
57;8181883.526692
58;8000080.571994
59;8000080.571994
60;8000080.571994
61;8000080.571994
62;8000075.505883
63;8000075.352580
64;8000075.240179
65;8000073.054418
66;8000073.054418
67;8000072.519540
68;8000068.582798
69;8000067.300665
70;7894813.738420
71;7857225.261358
72;7857224.938605
73;7857224.804576
74;7857224.742579
75;7857224.567937
76;7857222.655107
77;7777868.011742
78;7777867.731716
79;7777867.675191
80;7777867.675191
81;7777866.842978
82;7777864.971901
83;7777864.675774
84;7777863.766960
85;7777863.766960
86;7777862.058805
87;7777862.058805
88;7777862.058805
89;7777862.058805
90;7777862.058805
91;7777862.058805
92;7777861.789245
93;7777858.942867
94;7777858.942867
95;7777856.897514
96;7777856.897514
97;7777856.125196
98;7777855.204006
99;7777855.204006
100;7777855.204006
101;7777855.204006
102;7777855.204006
103;7777850.829848
104;7777850.829848
105;7777850.829848
106;7777850.829848
107;7600086.052874
108;7600085.981720
109;7600085.496806
110;7600085.496806
111;7500098.380302
112;7500098.380302
113;7500097.883277
114;7500097.883277
115;7500091.319014
116;7500091.319014
117;7500091.319014
118;7500091.319014
119;7500089.577204
120;7500089.360214
121;7500089.360214
122;7500084.483886
123;7500084.483886
124;7500084.141754
125;7500083.135446
126;7500081.240224
127;7500081.240224
128;7500080.866506
129;7187599.135236
130;7179588.251964
131;7169913.322964
132;7162265.577468
133;7142963.820145
134;7142962.343583
135;7142962.343583
136;7142961.618666
137;7142961.618666
138;7142961.618666
139;7142960.696388
140;7142960.497843
141;7142959.221196
142;7142957.568778
143;7142957.568778
144;7142957.568778
145;7142957.568778
146;7142957.568778
147;7142956.248888
148;7142953.443434
149;7142953.443434
150;7142953.443434
151;7142953.443434
152;7142953.443434
153;7142953.443434
154;7142953.443434
155;7142953.443434
