run_id;arquivo_instancia;ninst;tem_janelas;heuristica_retirada;tamanho_clientes;nos_rede;veiculos;capacidade;tabu;tipo_geracao;tempo_exato;tempo_bp;fo_exato;fo_bp;gap_pct;igual_exato;nos_bp;colunas_bp;seq_exato;seq_bp;timestamp;;;;;;;;;;
tam25_cap200_tabu0_inst0_cons0;instancias/r103,txt;0;0;0;25;27;5;200;0;PD;1201,3643;142,071;468,2479;455,6982;-2,6801;0;1;1375;"V0: [0,7,19,11,10,26] ; V1: [0,2,21,23,22,4,25,26] ; V2: [0,14,15,6,13,26] ; V3: [0,1,20,9,3,24,12,26] ; V4: [0,18,8,17,16,5,26]";"V0: [0,7,19,11,8,18,26] ; V1: [0,12,24,3,9,10,20,1,26] ; V2: [0,2,15,14,16,17,5,26] ; V3: [0,6,13,26] ; V4: [0,21,23,22,4,25,26]";28/03/2026 00:47;;;;;;;;;;
tam25_cap200_tabu0_inst0_cons1;instancias/r103,txt;0;0;1;25;27;5;200;0;PD;1201,3643;109,9558;468,2479;455,6982;-2,6801;0;1;1450;"V0: [0,7,19,11,10,26] ; V1: [0,2,21,23,22,4,25,26] ; V2: [0,14,15,6,13,26] ; V3: [0,1,20,9,3,24,12,26] ; V4: [0,18,8,17,16,5,26]";"V0: [0,2,15,14,16,17,5,26] ; V1: [0,7,19,11,8,18,26] ; V2: [0,21,23,22,4,25,26] ; V3: [0,6,13,26] ; V4: [0,12,24,3,9,10,20,1,26]";28/03/2026 00:49;;;;;;;;;;
tam25_cap200_tabu0_inst0_cons2;instancias/r103,txt;0;0;2;25;27;5;200;0;PD;1201,3643;111,5374;468,2479;455,6982;-2,6801;0;1;1380;"V0: [0,7,19,11,10,26] ; V1: [0,2,21,23,22,4,25,26] ; V2: [0,14,15,6,13,26] ; V3: [0,1,20,9,3,24,12,26] ; V4: [0,18,8,17,16,5,26]";"V0: [0,12,24,3,9,10,20,1,26] ; V1: [0,21,23,22,4,25,26] ; V2: [0,2,15,14,16,17,5,26] ; V3: [0,6,13,26] ; V4: [0,7,19,11,8,18,26]";28/03/2026 00:51;;;936,4958;;;;;;;
tam25_cap200_tabu0_inst0_cons3;instancias/r103,txt;0;0;3;25;27;5;200;0;PD;1201,3643;164,3832;468,2479;468,1968;-0,0109;0;379;2445;"V0: [0,7,19,11,10,26] ; V1: [0,2,21,23,22,4,25,26] ; V2: [0,14,15,6,13,26] ; V3: [0,1,20,9,3,24,12,26] ; V4: [0,18,8,17,16,5,26]";"V0: [0,24,3,9,10,20,1,26] ; V1: [0,6,13,26] ; V2: [0,15,14,16,17,5,26] ; V3: [0,7,19,11,8,18,26] ; V4: [0,2,21,23,22,4,25,12,26]";28/03/2026 00:54;;;;;;;;;;
tam25_cap200_tabu0_inst0_cons22;instancias/r103,txt;0;0;22;25;27;5;200;0;PD;1201,3643;447,5025;468,2479;455,6982;-2,6801;0;1;645;"V0: [0,7,19,11,10,26] ; V1: [0,2,21,23,22,4,25,26] ; V2: [0,14,15,6,13,26] ; V3: [0,1,20,9,3,24,12,26] ; V4: [0,18,8,17,16,5,26]";"V0: [0,21,23,22,4,25,26] ; V1: [0,2,15,14,16,17,5,26] ; V2: [0,6,13,26] ; V3: [0,7,19,11,8,18,26] ; V4: [0,12,24,3,9,10,20,1,26]";28/03/2026 01:01;;;;;;;;;;
tam25_cap200_tabu0_inst0_cons0;instancias/r104,txt;0;0;0;25;27;4;200;0;PD;1201,5134;119,9116;453,6869;417,9612;-7,8745;0;1;1040;"V0: [0,15,16,14,13,26] ; V1: [0,21,22,23,4,2,6,26] ; V2: [0,7,19,11,8,17,5,18,26] ; V3: [0,1,10,20,9,3,24,25,12,26]";"V0: [0,7,19,11,8,18,6,13,26] ; V1: [0,1,10,20,9,3,24,12,26] ; V2: [0,2,15,14,16,17,5,26] ; V3: [0,21,22,23,4,25,26]";28/03/2026 01:23;;;;;;;;;;
tam25_cap200_tabu0_inst0_cons1;instancias/r104,txt;0;0;1;25;27;4;200;0;PD;1201,5134;150,0521;453,6869;417,9612;-7,8745;0;15;1752;"V0: [0,15,16,14,13,26] ; V1: [0,21,22,23,4,2,6,26] ; V2: [0,7,19,11,8,17,5,18,26] ; V3: [0,1,10,20,9,3,24,25,12,26]";"V0: [0,21,22,23,4,25,26] ; V1: [0,2,15,14,16,17,5,26] ; V2: [0,7,19,11,8,18,6,13,26] ; V3: [0,1,10,20,9,3,24,12,26]";28/03/2026 01:26;;;;;;;;;;
tam25_cap200_tabu0_inst0_cons2;instancias/r104,txt;0;0;2;25;27;4;200;0;PD;1201,5134;86,7017;453,6869;417,9612;-7,8745;0;1;1384;"V0: [0,15,16,14,13,26] ; V1: [0,21,22,23,4,2,6,26] ; V2: [0,7,19,11,8,17,5,18,26] ; V3: [0,1,10,20,9,3,24,25,12,26]";"V0: [0,2,15,14,16,17,5,26] ; V1: [0,21,22,23,4,25,26] ; V2: [0,1,10,20,9,3,24,12,26] ; V3: [0,7,19,11,8,18,6,13,26]";28/03/2026 01:27;;;;;;;;;;
tam25_cap200_tabu0_inst0_cons3;instancias/r104,txt;0;0;3;25;27;4;200;0;PD;1201,5134;18,8865;453,6869;427,2213;-5,8334;0;1;1744;"V0: [0,15,16,14,13,26] ; V1: [0,21,22,23,4,2,6,26] ; V2: [0,7,19,11,8,17,5,18,26] ; V3: [0,1,10,20,9,3,24,25,12,26]";"V0: [0,1,10,20,9,3,24,25,12,26] ; V1: [0,7,19,11,8,17,16,5,18,26] ; V2: [0,21,22,23,4,26] ; V3: [0,6,14,15,2,13,26]";28/03/2026 01:27;;;;;;;;;;
tam25_cap200_tabu0_inst0_cons22;instancias/r104,txt;0;0;22;25;27;4;200;0;PD;1201,5134;392,8058;453,6869;420,6334;-7,2855;0;1;500;"V0: [0,15,16,14,13,26] ; V1: [0,21,22,23,4,2,6,26] ; V2: [0,7,19,11,8,17,5,18,26] ; V3: [0,1,10,20,9,3,24,25,12,26]";"V0: [0,7,19,11,8,18,6,13,26] ; V1: [0,2,15,14,16,17,5,26] ; V2: [0,21,22,23,4,25,12,26] ; V3: [0,24,3,9,20,10,1,26]";28/03/2026 01:34;;;;;;;;;;
