-1;0;3.000000;-9999997.000000;[0 12 13];2025-11-13 15:49:34
-1;1;1.500000;-9999998.500000;[0 12 13];2025-11-13 15:49:34
0;0;3.046309;-9999995.453691;[0 1 13];2025-11-13 15:49:41
0;1;2.343743;-9999997.656257;[0 1 12 13];2025-11-13 15:49:41
1;0;3.600000;-9999994.056257;[0 2 13];2025-11-13 15:49:47
1;1;3.665281;-9999996.334719;[0 2 12 1 13];2025-11-13 15:49:48
2;0;5.597211;-9999993.081252;[0 1 3 12 13];2025-11-13 15:49:54
2;1;2.798605;-9999995.879857;[0 1 3 12 13];2025-11-13 15:49:54
3;0;8.757616;-9999992.677104;[0 2 4 12 3 13];2025-11-13 15:50:00
3;1;4.378808;-9999997.055912;[0 2 4 12 3 13];2025-11-13 15:50:01
4;0;10.867032;-9999991.087485;[0 1 3 2 5 13];2025-11-13 15:50:07
4;1;5.433516;-9999996.521001;[0 1 3 2 5 13];2025-11-13 15:50:07
5;0;10.928061;-19999979.962181;[0 1 4 5 13];2025-11-13 15:50:13
5;1;5.464031;-19999985.426212;[0 1 4 5 13];2025-11-13 15:50:14
6;0;10.259707;-9999991.330112;[0 1 3 4 2 6 13];2025-11-13 15:50:20
6;1;5.129854;-9999996.459965;[0 1 3 4 2 6 13];2025-11-13 15:50:21
7;0;6.300907;-9999988.476542;[0 6 5 7 13];2025-11-13 15:50:27
7;1;4.723149;-9999992.398043;[0 6 5 7 1 12 13];2025-11-13 15:50:27
8;0;6.135754;-9999990.835218;[0 6 5 8 13];2025-11-13 15:50:33
8;1;5.250458;-9999994.542051;[0 8 5 6 2 12 13];2025-11-13 15:50:34
9;0;15.550740;-9999998.091631;[0 2 4 3 9 1 7 8 13];2025-11-13 15:50:40
9;1;7.653983;-10000002.055899;[0 2 4 9 7 8 13];2025-11-13 15:50:40
10;0;11.236068;-39999937.128888;[0 6 5 9 3 12 13];2025-11-13 15:50:46
10;1;5.427051;-39999941.437905;[0 3 9 5 6 13];2025-11-13 15:50:47
11;0;14.004737;-9999990.837855;[0 4 3 10 7 8 5 13];2025-11-13 15:50:53
11;1;6.587613;-9999995.460719;[0 4 3 10 7 8 13];2025-11-13 15:50:53
12;0;11.669219;-9999988.643954;[0 2 6 5 7 11 10 13];2025-11-13 15:50:59
12;1;5.821600;-9999992.756601;[0 2 6 5 11 10 13];2025-11-13 15:51:00
13;0;15.206176;-44999938.178335;[0 4 3 11 7 8 5 13];2025-11-13 15:51:06
13;1;7.188333;-44999938.779054;[0 4 3 11 7 8 13];2025-11-13 15:51:06
14;0;15.741140;-114999891.738920;[0 5 7 11 10 9 3 4 13];2025-11-13 15:51:12
14;1;5.487711;-109999902.898764;[0 7 11 10 9 3 13];2025-11-13 15:51:13
15;0;16.473705;-144999758.311265;[0 6 8 11 10 1 9 4 13];2025-11-13 15:51:19
15;1;7.777560;-119999806.215967;[0 4 9 11 8 6 13];2025-11-13 15:51:19
16;0;14.792955;-8275843.141053;[0 2 4 12 3 1 10 7 8 13];2025-11-13 15:51:25
16;1;7.778860;-6666651.283371;[0 1 12 11 7 8 2 13];2025-11-13 15:51:26
17;0;16.303743;-7272716.134894;[0 6 5 2 4 12 3 9 10 1 13];2025-11-13 15:51:32
17;1;5.477172;-4727266.054315;[0 6 2 12 9 1 13];2025-11-13 15:51:32
18;0;10.428352;-3.816690;[0 6 5 8 7 11 10 1 13];2025-11-13 15:51:38
18;1;5.197379;-3.274937;[0 1 11 7 8 5 6 13];2025-11-13 15:51:39
19;0;16.114530;-7.074879;[0 4 12 3 9 1 10 8 5 13];2025-11-13 15:51:45
19;1;5.981564;-5.174066;[0 8 11 10 9 1 13];2025-11-13 15:51:45
20;0;16.610808;-2.543396;[0 2 4 12 3 9 10 7 8 5 13];2025-11-13 15:51:51
20;1;6.633737;-2.094204;[0 2 4 12 11 7 13];2025-11-13 15:51:52
21;0;12.283308;-1.592911;[0 1 9 3 12 4 2 6 13];2025-11-13 15:51:58
21;1;7.708661;-1.812949;[0 3 9 11 7 8 6 2 13];2025-11-13 15:51:58
22;0;13.281584;-1.127799;[0 6 5 8 11 10 9 3 13];2025-11-13 15:52:04
22;1;6.921683;-0.999959;[0 4 12 11 8 6 13];2025-11-13 15:52:04
23;0;15.344915;-1.213283;[0 4 12 3 9 10 7 8 5 6 13];2025-11-13 15:52:10
23;1;6.056371;-2.027935;[0 6 2 4 12 9 13];2025-11-13 15:52:11
24;0;17.671937;-1.588309;[0 6 5 8 7 11 10 9 3 4 2 13];2025-11-13 15:52:17
24;1;5.562989;-1.392197;[0 1 9 3 4 2 13];2025-11-13 15:52:17
25;0;14.028558;-0.854169;[0 6 5 2 4 12 3 9 1 13];2025-11-13 15:52:23
25;1;5.032356;-1.020665;[0 1 9 3 12 2 13];2025-11-13 15:52:24
26;1;4.769272;-0.420522;[0 5 8 11 10 13];2025-11-13 15:52:30
27;1;6.171272;-0.173376;[0 2 6 8 7 11 10 1 13];2025-11-13 15:52:37
28;0;11.325152;-0.110595;[0 1 9 3 12 4 2 13];2025-11-13 15:52:43
29;1;5.935445;-0.001316;[0 2 6 5 8 11 7 13];2025-11-13 15:52:50
30;1;7.112815;-0.000839;[0 6 2 4 12 11 7 13];2025-11-13 15:52:56
